ticker,as_of,sector,industry,market_cap,pe,forward_pe,peg,ps,pb,pfcf,roe,roa,roi,gross_margin,oper_margin,net_margin,eps_growth,eps_growth_next_y,eps_growth_5y,eps_growth_past5y,sales_growth,debt_equity,lt_debt_equity,current_ratio,quick_ratio,dividend_yield,insider_own,inst_own,short_float,promoter_holding,pledged_pct
360ONE,2026-07-17,Financial Services,,45207.0,35.8,,,,4.603305785123967,,14.4,,12.1,,62.0,27.310106037654187,11.554232228733374,,13.828004431662011,,16.520266837828657,1.6196624644164295,,,,1.08,,,,6.24,
3MINDIA,2026-07-17,Diversified,,39256.0,64.2,,,,18.29485834207765,,30.5,,40.5,,19.0,14.596273291925465,30.994640762939696,,13.668517088739375,,7.859332268287411,0.008383791336748951,,,,0.46,,,,75.0,
AADHARHFC,2026-07-17,Financial Services,,22643.0,20.4,,,,2.9884393063583814,,15.9,,11.4,,,,22.14798328902503,,23.8814114047321,,,,,,,0.0,,,,64.66,
AARTIDRUGS,2026-07-17,Healthcare,,3856.0,19.8,,,,2.4823529411764707,,13.4,,11.9,,12.0,7.602339181286549,5.9493521191184895,,-6.623882553668247,,-1.8886613661022178,0.3724983860555197,,,,0.47,,,,55.03,
AARTIIND,2026-07-17,Chemicals,,17926.0,43.5,,,,3.0121951219512195,,7.13,,6.85,,14.0,5.056722181993725,-8.39834240219396,,-5.101886237013186,,7.7748720561739315,0.8339210747271201,,,,0.2,,,,42.09,
AARTIPHARM,2026-07-17,Healthcare,,6417.0,36.3,,,,3.0256410256410255,,8.59,,10.7,,20.0,9.620670698185817,-3.3590304331914456,,,,-2.207766664168098,0.3549905838041431,,,,0.71,,,,42.86,
AAVAS,2026-07-17,Financial Services,,11716.0,23.9,,,,3.1048218029350103,,13.9,,9.91,,,,18.99113953037732,,22.429917138052357,,,,,,,0.0,,,,48.88,
ABB,2026-07-17,Capital Goods,,159050.0,104.0,,,,20.286486486486485,,22.4,,29.9,,14.0,22.737340563659973,176.4510388751104,,,,19.836620945527184,0.010847371107708014,,,,0.52,,,,75.0,
ABBOTINDIA,2026-07-17,Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.99,
ABCAPITAL,2026-07-17,Financial Services,,109802.0,28.9,,,,3.068702290076336,,11.7,,8.72,,,,-10.178972676535869,,25.260508466632746,,,,,,,0.0,,,,68.81,
ABDL,2026-07-17,Fast Moving Consumer Goods,,17229.0,75.2,,,,10.387205387205388,,14.3,,18.4,,14.0,5.607953097119552,388.4994055649934,,136.6243830938149,,7.623519049497496,0.6921226698737222,,,,0.88,,,,80.91,
ABFRL,2026-07-17,Consumer Services,,7063.0,,,,,1.209205020920502,,-11.7,,-3.07,,8.0,-10.150421915127797,,,,,-13.001029371018069,1.0597602739726026,,,,0.0,,,,46.61,
ABLBL,2026-07-17,Consumer Services,,11584.0,55.4,,,,8.181034482758621,,15.6,,14.7,,16.0,2.0366841353025253,,,,,,2.1358811040339702,,,,0.53,,,,46.6,
ABREL,2026-07-17,Realty,,16155.0,,,,,4.377643504531722,,-2.64,,-4.48,,-90.0,-28.255528255528255,,,,,-52.64240531244803,1.5228316671169955,,,,0.17,,,,50.21,
ABSLAMC,2026-07-17,Financial Services,,33238.0,34.0,,,,8.221428571428572,,25.2,,32.2,,64.0,47.42217898832685,17.69032975277076,,-35.06318925222052,,15.081024687681532,0.015837663944568176,,,,2.22,,,,74.72,
ACC,2026-07-17,Construction Materials,,25887.0,12.2,,,,1.259597806215722,,10.9,,11.2,,11.0,8.231261073877205,34.15749508517598,,8.363510380470075,,5.340779812539576,0.02087489659870566,,,,0.54,,,,56.69,
ACE,2026-07-17,Capital Goods,,11786.0,28.4,,,,5.840236686390533,,22.9,,31.7,,15.0,12.652439024390244,34.2418104573315,,37.74454587040916,,14.940574679424357,0.003978120338140228,,,,0.2,,,,65.42,
ACI,2026-07-17,Chemicals,,6785.0,65.9,,,,3.5031847133757963,,5.42,,7.41,,22.0,9.71322849213691,-34.69209936221063,,,,-9.13696526741371,0.2408268733850129,,,,0.45,,,,53.43,
ACMESOLAR,2026-07-17,Power,,27212.0,54.8,,,,4.610778443113772,,10.4,,8.89,,88.0,24.616905585763718,,,41.3218766418493,,16.03135701436862,3.931238885595732,,,,0.05,,,,71.48,
ACUTAAS,2026-07-17,Healthcare,,29645.0,83.2,,,,17.915841584158414,,24.0,,31.6,,36.0,26.58700522778193,56.14003928554243,,38.39539905554592,,29.468804459618415,0.02176541717049577,,,,0.04,,,,32.66,
ADANIENSOL,2026-07-17,Power,,206927.0,92.3,,,,8.127358490566039,,9.44,,9.65,,29.0,8.674061186022909,19.052468155127002,,11.288858368390953,,27.555465161981687,1.9340071577457034,,,,0.0,,,,74.71,
ADANIENT,2026-07-17,Metals & Mining,,427540.0,,,,,5.0414673046252,,-3.38,,5.8,,14.0,9.904547671421035,55.315101266327616,,57.37774158374294,,-7.6446860482450525,1.3175246521513482,,,,0.04,,,,71.97,
