ticker,as_of,sector,industry,market_cap,pe,forward_pe,peg,ps,pb,pfcf,roe,roa,roi,gross_margin,oper_margin,net_margin,eps_growth,eps_growth_next_y,eps_growth_5y,eps_growth_past5y,sales_growth,debt_equity,lt_debt_equity,current_ratio,quick_ratio,dividend_yield,insider_own,inst_own,short_float,promoter_holding,pledged_pct
3BFILMS,2026-09-05,,,28.9,15.7,,0.7914852606898057,0.48158640226628896,0.5441860465116278,,4.16,1.0200121957979933,4.9,,18.46,3.066155640726546,19.83612428400363,,56.03727114243022,,-5.80386990253926,1.8890560361037982,,,,0.0,,,,69.97,
3CIT,2026-09-05,,,11.5,19.9,,,0.19668205917564563,0.8642533936651584,,4.46,1.5057113187954307,5.12,,2.14,0.9919616897554301,-68.82012355565426,,-74.322392483545,,-1.898118244496938,0.03162650602409638,,,,0.0,,,,51.67,
AAKAAR,2026-09-05,,,88.9,13.4,,,1.3276583034647553,1.6285714285714286,,17.1,8.36061445479728,18.5,,15.41,9.916367980884111,-46.54795294060173,,-38.65829874335803,,26.882628015267663,0.33968835930339136,,,,0.0,,,,67.05,
AAPLUSTRAD,2026-09-05,,,29.9,66.5,,2.558469197738943,3.686806411837238,0.6795580110497237,,1.03,0.9384775808133471,1.55,,-6.91,5.548705302096178,25.99210498948732,,14.869835499703509,,-20.792391680083476,0.03323469155474618,,,,0.0,,,,3.82,
AARADHYA,2026-09-05,,,157.0,25.8,,,1.0397350993377483,2.014519056261343,,20.6,4.545454545454546,16.9,,8.0,3.9735099337748347,0.0,,29.453875620531523,,22.076748010113477,0.5128205128205128,,,,0.0,,,,70.58,
AASHKA,2026-09-05,,,199.0,69.9,,,8.648413733159495,1.9229024943310655,,2.8,2.8832872928176796,4.05,,22.77,14.515428074750107,,,-8.907999870052418,,6.70355314534703,0.07979083954681901,,,,0.0,,,,61.34,
AATMAJ,2026-09-05,,,41.2,57.3,,,1.8286728806036396,0.8088888888888889,,1.43,0.9262883235485974,3.6,,10.65,3.1513537505548155,-56.04351636246919,,-60.064839619324275,,-1.7286718358146547,0.4137320480031478,,,,0.0,,,,64.33,
AAYUSHBULL,2026-09-05,,,1941.0,246.0,,3.0149054602228924,8.98611111111111,31.939546599496218,,13.9,6.4,18.9,,5.0,3.7037037037037033,81.59459832011223,,,,155.1742221697941,0.0,,,,0.0,,,,24.63,
ABH,2026-09-05,,,92.2,16.1,,0.6251200159301752,1.7868217054263567,,,39.6,6.614284038935148,19.9,,28.76,10.930232558139535,25.755054373108322,,,,20.91268600628129,3.17358708189158,,,,0.0,,,,69.99,
ABHAPOWER,2026-09-05,,,45.7,18.6,,,0.7344905175184828,0.8571428571428572,,4.72,2.8751753155680224,7.01,,8.61,3.953712632594021,-64.32398812488603,,,,4.387274890957649,0.36829268292682926,,,,0.0,,,,72.52,
ABRFL,2026-09-05,,,20.3,8.63,,,0.18125,0.8736141906873613,,14.8,5.263157894736842,14.2,,3.7,1.7857142857142856,-38.82717980284396,,,,50.28006039632105,0.6086956521739131,,,,0.0,,,,67.33,
ABRIL,2026-09-05,,,26.8,17.8,,,0.411927451583154,1.1275167785234899,,8.89,5.877742946708464,12.3,,3.24,2.305564094681832,,,,,,0.025651808242220353,,,,0.0,,,,61.71,
ABSMARINE,2026-09-05,,,830.0,10.4,,,2.6018808777429467,2.661417322834646,,29.6,10.91644204851752,21.0,,47.0,25.391849529780565,,,,,42.17478104394821,1.2083333333333333,,,,0.0,,,,63.96,
ACCELERATE,2026-09-05,,,34.3,52.8,,,4.956647398843931,8.52991452991453,,16.2,3.9133052378085496,,,21.53,9.39306358381503,,,,,,2.6184538653366585,,,,0.3,,,,71.02,
ACCENTMIC,2026-09-05,,,1482.0,33.8,,1.1149120680988953,4.2464183381088825,5.373913043478261,,18.6,13.664596273291925,24.9,,16.0,12.607449856733524,30.316292169690517,,13.279160837620974,,21.000286957426017,0.0036231884057971015,,,,0.16,,,,53.02,
ACCORD,2026-09-05,,,73.0,54.9,,0.8508253105389186,1.9826181423139597,4.392523364485982,,9.36,6.884057971014493,9.24,,2.39,3.6121673003802286,64.52558394769187,,4.0528129052160855,,22.25582984669865,0.04774714189643577,,,,0.0,,,,31.99,
ACCORDTS,2026-09-05,,,137.0,30.4,,,1.9551876694733838,2.7941176470588234,,12.8,5.378914654554149,14.5,,9.9,6.422149279292137,-60.22395267942785,,-41.216166549063516,,19.773745838263235,0.18068344587681603,,,,0.0,,,,61.97,
ACCPL,2026-09-05,,,222.0,23.0,,,2.476849269217896,4.0650406504065035,,27.6,12.614140360031307,28.9,,16.68,10.78879839339507,,,,,,0.2251873514896728,,,,0.0,,,,73.52,
ACEALPHA,2026-09-05,,,234.0,15.6,,,9.75,3.3756345177664975,,29.3,20.54794520547945,39.6,,79.0,62.5,-86.23445947066983,,-35.89593338998527,,68.68653306034984,0.0,,,,0.0,,,,43.9,
ACETEC,2026-09-05,,,228.0,22.2,,,2.746987951807229,3.2629107981220655,,24.8,13.333333333333334,33.6,,17.0,12.048192771084338,-83.96232835002087,,,,16.866915815850405,0.0,,,,0.0,,,,64.39,
ACFSL,2026-09-05,,,56.1,11.5,,,,0.6328555678059536,,5.63,3.5211267605633805,9.02,,,,,,,,,,,,,0.0,,,,64.66,
ACLD,2026-09-05,,,326.0,15.3,,,0.8534031413612565,2.5889967637540456,,18.7,8.366533864541832,18.8,,10.0,5.49738219895288,-86.00538013475321,,-78.38292009028164,,51.89574967146486,0.896,,,,0.0,,,,63.74,
