ticker,as_of,sector,industry,market_cap,pe,forward_pe,peg,ps,pb,pfcf,roe,roa,roi,gross_margin,oper_margin,net_margin,eps_growth,eps_growth_next_y,eps_growth_5y,eps_growth_past5y,sales_growth,debt_equity,lt_debt_equity,current_ratio,quick_ratio,dividend_yield,insider_own,inst_own,short_float,promoter_holding,pledged_pct
AA,2026-08-22,Basic Materials,Aluminum,13680000000.0,10.64,8.36,0.43,0.99,1.86,38.87,19.1,8.1,13.45,14.2,11.66,9.33,74.24,-5.61,19.58,,7.07,0.3,0.3,1.53,0.92,0.77,0.56,83.67,3.56,,
AAL,2026-08-22,Industrials,Airlines,9150000000.0,,5.47,0.05,0.16,,32.1,,-0.51,-1.18,17.86,1.83,-0.56,-65.19,1914.23,109.51,,25.8,,,0.53,0.42,,1.58,78.36,9.84,,
AAMI,2026-08-22,Financial,Asset Management,3280000000.0,32.57,14.13,,4.71,35.61,13.51,200.4,13.26,29.42,96.56,26.6,14.59,65.38,21.49,,-8.76,3.76,2.8,2.75,1.06,1.06,0.44,0.51,103.12,2.72,,
AAON,2026-08-22,Financial,Insurance Brokers,75330000000.0,19.58,16.64,1.41,4.29,7.84,23.19,44.88,7.290000000000001,16.82,89.58,28.470000000000002,22.27,11.79,11.84,11.77,15.04,9.34,1.65,1.42,1.03,1.03,0.9000000000000001,1.01,93.87,2.34,,
AAP,2026-08-22,Consumer Cyclical,Auto Parts,2570000000.0,30.91,10.83,0.42,0.3,1.13,111.82,4.84,0.96,1.12,45.03,3.91,0.97,32.81,31.01,25.89,-36.7,-3.17,2.31,2.31,1.75,0.85,2.36,,126.24,18.63,,
AAPL,2026-08-22,Technology,Consumer Electronics,4514710000000.0,35.46,32.48,2.6,9.67,42.03,33.03,148.75,36.08,72.08,48.65,33.17,27.62,18.42,7.81,12.49,17.91,8.71,0.78,0.66,1.0,0.93,0.35,0.12,68.91,0.97,,
AAT,2026-08-22,Real Estate,REIT - Diversified,1400000000.0,82.03,61.7,,3.19,1.25,15.81,1.6399999999999997,0.65,0.67,31.269999999999996,22.77,4.09,-57.61,-5.13,-23.0,14.72,6.88,1.53,1.53,2.46,2.46,6.02,26.52,79.67,2.49,,
ABBV,2026-08-22,Healthcare,Drug Manufacturers - General,468220000000.0,74.92,16.23,0.76,7.27,,25.71,15221.82,4.6,11.08,71.42,34.18,9.74,40.31,16.33,21.47,-2.81,5.95,,,0.81,0.69,2.59,0.12,78.2,1.28,,
ABCB,2026-08-22,Financial,Banks - Regional,5780000000.0,15.6,12.26,,3.4,1.41,11.08,9.4,1.36,8.87,,33.34,22.11,10.78,5.92,,9.71,7.93,0.34,0.04,0.16,,0.9399999999999998,5.8,99.97,3.82,,
ABG,2026-08-22,Consumer Cyclical,Auto & Truck Dealerships,3860000000.0,8.03,7.08,1.23,0.21,0.98,7.89,13.23,4.73,7.13,16.61,5.08,2.83,-5.99,14.92,5.76,13.75,20.34,1.41,0.82,0.91,0.29,,0.91,106.66,5.88,,
ABM,2026-08-22,Industrials,Specialty Business Services,2740000000.0,18.04,10.75,1.11,0.3,1.57,8.21,8.87,2.89,4.34,11.35,4.13,1.7500000000000002,15.62,9.49,9.66,256.47,7.87,1.13,1.09,1.46,1.46,2.47,1.59,102.47,3.37,,
ABNB,2026-08-22,Consumer Cyclical,Travel Services,112150000000.0,42.57,30.21,1.35,8.48,14.17,23.09,34.54,9.65,26.19,72.56,21.21,20.35,31.0,17.45,22.31,,29.5,0.32,0.32,1.41,1.41,,31.35,62.77,3.19,,
ABR,2026-08-22,Real Estate,REIT - Mortgage,968240000.0,80.84,8.91,,0.81,0.46,2.95,2.01,0.4099999999999999,0.48,94.25,70.95,1.36,-74.53,113.76,,-16.98,12.27,3.99,3.35,0.55,0.24,15.61,4.38,65.64,24.79,,
ABT,2026-08-22,Healthcare,Medical Devices,201830000000.0,37.7,19.23,2.07,4.33,3.95,25.8,10.63,5.59,6.7,52.81,16.44,11.6,7.12,9.94,9.3,8.23,5.08,0.64,0.58,1.38,0.97,2.21,0.69,82.14,1.32,,
ACA,2026-08-22,Industrials,Engineering & Construction,7120000000.0,54.22,29.77,7.3,2.59,2.38,52.67,7.24,3.8599999999999994,2.93,23.04,11.18,4.78,-4.25,13.73,4.08,14.24,8.3,0.51,0.5,3.12,2.31,0.14,1.8799999999999997,92.27,1.7,,
ACAD,2026-08-22,Healthcare,Biotechnology,5080000000.0,13.29,32.56,,4.46,3.89,34.91,35.74,25.64,27.85,91.13,7.59,33.42,-73.36,47.91,-12.48,,19.39,0.06,0.05,3.39,3.3,,1.32,97.73,6.36,,
ACGL,2026-08-22,Financial,Insurance - Diversified,33909999999.999996,7.77,10.15,4.39,1.82,1.46,5.6,19.94,6.800000000000001,17.02,,25.11,25.03,-4.84,4.24,2.31,28.39,18.36,0.18,0.15,0.5,,0.17,2.72,94.01,2.43,,
ACHC,2026-08-22,Healthcare,Medical Care Facilities,2590000000.0,,15.27,6.91,0.77,1.28,,-44.54,-19.0,-25.08,16.26,10.06,-33.44,-23.64,19.31,2.21,,9.65,1.3,1.27,1.57,1.56,,6.43,138.41,25.03,,
ACI,2026-08-22,Consumer Defensive,Grocery Stores,6010000000.0,165.51,,,0.07,3.75,10.65,2.72,0.25,0.42,24.96,1.96,0.08,-17.69,,-5.08,-24.7,3.6,9.74,8.81,0.84,0.21,4.39,33.03,65.1,14.87,,
ACIW,2026-08-22,Technology,Software - Infrastructure,5240000000.0,23.73,17.64,,2.88,3.51,16.8,15.620000000000001,7.24,9.83,43.7,19.02,12.4,19.91,13.51,,28.58,6.34,0.58,0.53,1.58,1.58,,1.91,103.95,5.79,,
ACLS,2026-08-22,Technology,Semiconductor Equipment & Materials,3920000000.0,42.73,24.12,1.27,4.53,3.68,59.86,8.89,6.849999999999999,8.22,43.01,10.33,10.71,-15.86,28.3,19.03,20.99,12.07,0.07,0.06,4.9,3.21,,1.33,101.9,5.29,,
ACM,2026-08-22,Industrials,Engineering & Construction,8340000000.0,23.66,10.5,0.91,0.54,3.8,40.98,15.909999999999998,3.07,6.77,5.68,4.65,2.35,-24.35,55.08,11.48,,4.04,1.52,1.43,1.06,1.06,1.33,0.66,95.01,5.58,,
ACMR,2026-08-22,Technology,Semiconductor Equipment & Materials,5530000000.0,37.72,24.82,0.62,5.33,2.97,,10.55,5.52,7.3,43.84,13.29,14.48,33.93,48.4,39.86,35.88,41.91,0.19,0.11,3.65,2.66,0.24,16.55,70.36,6.2,,
ACN,2026-08-22,Technology,Information Technology Services,113380000000.0,14.8,12.62,1.86,1.55,3.55,9.01,24.95,11.79,19.76,31.730000000000004,15.47,10.66,7.2,5.9,6.8,9.01,9.47,0.26,0.24,1.34,1.34,3.5000000000000004,0.22999999999999998,82.78,5.39,,
ACT,2026-08-22,Financial,Insurance - Specialty,6760000000.0,10.37,9.78,1.97,5.39,1.26,9.38,12.869999999999997,9.95,11.13,,73.11,54.510000000000005,6.2,4.81,4.97,14.7,2.24,0.14,0.14,1.62,,1.8900000000000001,80.15,22.34,10.73,,
ADAM,2026-08-22,Real Estate,REIT - Mortgage,893410000.0,5.92,9.61,,1.07,0.96,5.82,14.17,1.72,3.53,85.74,82.71,18.6,19.73,-21.48,-4.19,,35.33,7.69,2.89,0.06,0.06,10.5,7.449999999999999,57.989999999999995,3.54,,
ADBE,2026-08-22,Technology,Software - Application,109430000000.0,15.75,10.01,0.69,4.34,9.54,10.65,62.95,24.91,43.42,88.82,36.74,28.689999999999998,16.54,12.73,14.49,9.04,13.06,0.61,0.45,0.75,0.75,,0.21,87.17,4.88,,
ADC,2026-08-22,Real Estate,REIT - Retail,9190000000.0,39.8,37.31,6.92,11.79,1.45,17.32,3.6900000000000004,2.29,2.38,54.25,48.43,27.83,7.92,3.68,5.39,0.32,23.65,0.6,0.45,0.16,0.16,4.32,2.1,115.56,11.78,,
ADEA,2026-08-22,Technology,Software - Application,2890000000.0,24.26,16.3,5.21,6.15,6.07,15.35,27.88,11.7,14.42,86.76,46.81,26.05,-13.71,13.13,3.13,-10.86,-13.05,0.83,0.78,3.25,3.25,0.76,2.76,104.03,7.13,,
ADI,2026-08-22,Technology,Semiconductors,180790000000.0,44.27,22.64,0.66,13.02,5.39,36.62,12.23,8.56,10.25,60.39,35.72,29.79,64.8,28.37,34.26,6.82,14.49,0.27,0.2,1.25,0.91,1.14,0.26,94.17,2.02,,
ADM,2026-08-22,Consumer Defensive,Farm Products,38700000000.0,21.98,13.88,0.77,0.47,1.64,23.08,7.7,3.35,5.7,7.02,2.49,2.15,52.57,10.57,18.05,-6.68,4.52,0.4,0.32,1.39,0.86,2.64,0.7,89.65,3.41,,
ADMA,2026-08-22,Healthcare,Biotechnology,2200000000.0,13.97,10.43,0.47,4.3,5.43,18.92,41.9,27.190000000000005,27.83,64.67,42.26,32.98,21.3,18.41,22.25,,64.6,0.5,0.49,6.97,3.81,,4.16,90.14,10.21,,
