Symbol,ScripCode,Company Name,Industry,ISIN Code,Group,MktCap,YF
A1L,542012,A-1 Ltd,,INE911Z01025,B,250.24,A1L.BO
ACGL,505036,Automobile Corporation of Goa Ltd-$,,INE451C01013,B,1336.15,ACGL.BO
ACTIVE,541144,Active Clothing Co Ltd,,INE380Z01015,B,181.73,ACTIVE.BO
AGOL,542579,Ashapuri Gold Ornament Ltd,,INE05FR01029,B,125.33,AGOL.BO
ALPHALOGIC,542770,Alphalogic Techsys Ltd,,INE08E401029,B,302.0,ALPHALOGIC.BO
ALSL,535916,Alacrity Securities Ltd,,INE030P01017,B,307.16,ALSL.BO
ANDREWYU,526173,Andrew Yule & Company Ltd,,INE449C01025,B,1446.32,ANDREWYU.BO
ANUROOP,542865,Anuroop Packaging Ltd,,INE490Z01012,B,13.29,ANUROOP.BO
APIS,506166,Apis India Ltd,,INE070K01014,B,744.96,APIS.BO
ARL,542721,Anand Rayons Ltd,,INE02GA01012,B,107.84,ARL.BO
ARYACAPM,538716,Aryaman Capital Markets Ltd,,INE229R01011,B,475.91,ARYACAPM.BO
ASMTEC,526433,ASM Technologies Ltd,,INE867C01010,B,6682.15,ASMTEC.BO
AVAILFC,531310,Available Finance Ltd,,INE325G01010,B,148.41,AVAILFC.BO
BENARAS,509438,Benares Hotels Ltd,,INE664D01019,B,1326.66,BENARAS.BO
BGDL,521238,Bharat Global Developers Ltd,,INE893C01032,B,898.38,BGDL.BO
BIBCL,524663,Bharat Immunologicals & Biologicals Corporation Ltd-$,,INE994B01014,B,68.09,BIBCL.BO
BLUECLOUDS,539607,Blue Cloud Softech Solutions Ltd,,INE373T01047,B,1503.15,BLUECLOUDS.BO
BPAGRI,514440,Blue Pearl Agriventures Ltd,,INE439N01031,B,548.33,BPAGRI.BO
BRPL,538546,Bansal Roofing Products Ltd,,INE319Q01012,B,166.44,BRPL.BO
CAPPIPES,538817,Captain Pipes Ltd,,INE513R01026,B,142.43,CAPPIPES.BO
CHEMCRUX,540395,Chemcrux Enterprises Ltd,,INE298W01016,B,132.94,CHEMCRUX.BO
CITURGIA,506373,Citurgia Biochemicals Ltd,,INE795B01031,B,1492.68,CITURGIA.BO
COLAB,542866,Colab Platforms Ltd,,INE317W01030,B,2866.2,COLAB.BO
DOLFIN,542013,Dolfin Rubbers Ltd,,INE666Y01010,B,169.15,DOLFIN.BO
EKI,543284,EKI Energy Services Ltd,,INE0CPR01018,B,232.85,EKI.BO
ESCORP,540455,Escorp Asset Management Ltd,,INE953W01016,B,114.39,ESCORP.BO
GALACTICO,542802,Galactico Corporate Services Ltd,,INE906Y01028,B,35.92,GALACTICO.BO
GCMSECU,535431,GCM Securities Ltd,,INE168O01026,B,12.92,GCMSECU.BO
GKP,542666,G. K. P. Printing & Packaging Ltd,,INE05QJ01015,B,12.52,GKP.BO
GROWINGTON,539222,Growington Ventures India Ltd,,INE451S01027,B,44.96,GROWINGTON.BO
GUJSTATFIN,532160,Gujarat State Financial Corporation,,INE944A01011,B,93.93,GUJSTATFIN.BO
GUJTLRM,513337,Gujarat Toolroom Ltd,,INE145J01032,B,71.01,GUJTLRM.BO
HAZOOR,532467,Hazoor Multi Projects Ltd-$,,INE550F01049,B,631.92,HAZOOR.BO
IFL,540377,IFL Enterprises Ltd,,INE714U01024,B,46.07,IFL.BO
INDBNK,523465,Ind Bank Housing Ltd,,INE969D01012,B,49.59,INDBNK.BO
INDOKEM,504092,Indokem Ltd,,INE716F01012,B,1664.51,INDOKEM.BO
JYOTIRES,514448,Jyoti Resins & Adhesives Ltd,,INE577D01013,B,1109.16,JYOTIRES.BO
KAMATS,539659,Vikram Kamats Hospitality Ltd,,INE564S01019,B,67.85,KAMATS.BO
KENVI,540953,Kenvi Jewels Ltd,,INE923Y01023,B,25.28,KENVI.BO
KMCSHIL,524520,KMC Speciality Hospitals (India) Ltd,,INE879K01018,B,2127.44,KMCSHIL.BO
KRANTI,542459,Kranti Industries Ltd,,INE911T01010,B,62.3,KRANTI.BO
LOTUSCHO,523475,Lotus Chocolate Company Ltd,,INE026D01011,B,845.13,LOTUSCHO.BO
MIIL,538668,Meghna Infracon Infrastructure Ltd,,INE898Q01015,B,1594.41,MIIL.BO
MMLF,535910,Money Masters Leasing & Finance Ltd,,INE340O01021,B,6.73,MMLF.BO
MRCAGRO,540809,MRC Agrotech Ltd,,INE333Y01017,B,113.06,MRCAGRO.BO
NSDL,544467,National Securities Depository Ltd,,INE301O01023,A,16356.0,NSDL.BO
NSL,542628,Northern Spirits Ltd,,INE01BL01012,B,213.08,NSL.BO
PANORAMA,539469,Panorama Studios International Ltd,,INE258R01028,B,1292.78,PANORAMA.BO
PARSHVA,542694,Parshva Enterprises Ltd,,INE05MV01019,B,181.38,PARSHVA.BO
POOJA,540727,Poojawestern Metaliks Ltd,,INE973X01012,B,17.33,POOJA.BO
PRIMEFRESH,540404,Prime Fresh Ltd,,INE442V01012,B,268.44,PRIMEFRESH.BO
PUNJCOMMU,500346,Punjab Communications Ltd-$,,INE609A01010,B,58.66,PUNJCOMMU.BO
RAJNISH,541601,Rajnish Wellness Ltd,,INE685Z01033,B,42.64,RAJNISH.BO
RATNABHUMI,540796,Ratnabhumi Developers Ltd,,INE821Y01011,B,251.12,RATNABHUMI.BO
RAWEDGE,541634,Raw Edge Industrial Solutions Ltd,,INE960Z01014,B,15.23,RAWEDGE.BO
RDBIPL,533285,RDB Infrastructure And Power Ltd,,INE245L01028,B,339.16,RDBIPL.BO
RELICAB,539760,Relicab Cable Manufacturing Ltd,,INE773T01014,B,38.36,RELICAB.BO
REMAGNET,526570,Midwest Energy Ltd,,INE519N01014,B,4602.98,REMAGNET.BO
ROJL,543171,RO Jewels Ltd,,INE0BDU01028,B,8.73,ROJL.BO
SAMOR,543376,Samor Reality Ltd,,INE0GD201014,B,214.7,SAMOR.BO
SELECTRIC,544786,Schneider Electric President Systems Ltd,,INE155D01018,B,2847.82,SELECTRIC.BO
