Symbol,Exchange,ScripCode,Company Name,ISIN Code,Segment,YF
3BFILMS,BSE,544412,3B Films Ltd,INE0TE101010,BSE SME,3BFILMS.BO
3CIT,BSE,544190,3C IT Solutions and Telecoms (India) Ltd,INE0R7D01018,BSE SME,3CIT.BO
AAPLUSTRAD,BSE,543319,AA Plus Tradelink Ltd,INE0C5901022,BSE SME,AAPLUSTRAD.BO
AASHKA,BSE,543346,Aashka Hospitals Ltd,INE0EAX01014,BSE SME,AASHKA.BO
AAYUSHBULL,BSE,540718,Aayush Art And Bullion Ltd,INE777X01017,BSE SME,AAYUSHBULL.BO
ABRFL,BSE,544422,Abram Food Ltd,INE0ZDY01011,BSE SME,ABRFL.BO
ABRIL,BSE,544500,Abril Paper Tech Ltd,INE15MX01014,BSE SME,ABRIL.BO
ACCELERATE,BSE,543938,Acceleratebs India Ltd,INE0POP01017,BSE SME,ACCELERATE.BO
ACCORDTS,BSE,544710,Accord Transformer & Switchgear Ltd,INE132201018,BSE SME,ACCORDTS.BO
ACEALPHA,BSE,544431,Ace Alpha Tech Ltd,INE0S9X01011,BSE SME,ACEALPHA.BO
ACFSL,BSE,536737,Amrapali Capital and Finance Services Ltd,INE218P01018,BSE SME,ACFSL.BO
ACLD,BSE,544213,Aelea Commodities Ltd,INE0T3401029,BSE SME,ACLD.BO
ACML,BSE,540146,Aditya Consumer Marketing Ltd,INE427V01013,BSE SME,ACML.BO
ADCOUNTY,BSE,544435,Adcounty Media India Ltd,INE0W1601012,BSE SME,ADCOUNTY.BO
ADESHWAR,BSE,543309,Adeshwar Meditex Ltd,INE0H8J01015,BSE SME,ADESHWAR.BO
ADHIRAJ,BSE,780018,Adhiraj Distributors Ltd,INE067R01015,BSE SME,ADHIRAJ.BO
ADISHAKTI,BSE,543377,Adishakti Loha and Ispat Ltd,INE0CWK01019,BSE SME,ADISHAKTI.BO
ADMACH,BSE,544669,Admach Systems Ltd,INE0XLO01010,BSE SME,ADMACH.BO
ADON,BSE,544809,Adon Agro Commodities Ltd,INE1SME01017,BSE SME,ADON.BO
ADVANCETL,BSE,544843,Advance Technoforge Ltd,INE13ZJ01010,BSE SME,ADVANCETL.BO
AEGEUS,BSE,544858,Aegeus Technologies Ltd,INE0WR901013,BSE SME,AEGEUS.BO
AFCOM,BSE,544224,Afcom Holdings Ltd,INE0OXY01013,BSE SME,AFCOM.BO
AFLTD,BSE,544767,Autofurnish Ltd,INE18HI01019,BSE SME,AFLTD.BO
AHASOLAR,BSE,543941,Ahasolar Technologies Ltd,INE0NEV01011,BSE SME,AHASOLAR.BO
AIKPIPES,BSE,544072,AIK Pipes and Polymers Ltd,INE0QFT01015,BSE SME,AIKPIPES.BO
AIRFLOA,BSE,544516,Airfloa Rail Technology Ltd,INE0XBS01012,BSE SME,AIRFLOA.BO
AJCJEWEL,BSE,544425,AJC Jewel Manufacturers Ltd,INE0XRR01010,BSE SME,AJCJEWEL.BO
ALKOSIGN,BSE,543453,Alkosign Ltd,INE0KA601012,BSE SME,ALKOSIGN.BO
ALPHAIND,BSE,543937,Alphalogic Industries Ltd,INE0NZF01019,BSE SME,ALPHAIND.BO
AMANAYA,BSE,543804,Amanaya Ventures Ltd,INE0G1V01016,BSE SME,AMANAYA.BO
AMBOAGRI,BSE,543678,Ambo Agritec Ltd,INE0N6V01016,BSE SME,AMBOAGRI.BO
AMEENJI,BSE,544555,Ameenji Rubber Ltd,INE14QA01016,BSE SME,AMEENJI.BO
AMIC,BSE,544037,Amic Forging Ltd,INE0P9J01013,BSE SME,AMIC.BO
AMKAY,BSE,544169,Amkay Products Ltd,INE0QSB01016,BSE SME,AMKAY.BO
AMRAFIN,BSE,539265,Amrapali Fincap Ltd,INE990S01016,BSE SME,AMRAFIN.BO
AMWILL,BSE,544353,Amwill Health Care Ltd,INE0U2L01017,BSE SME,AMWILL.BO
ANGEL,BSE,541006,Angel Fibers Ltd,INE339Z01011,BSE SME,ANGEL.BO
ANL,BSE,544694,Accretion Nutraveda Ltd,INE1KVQ01019,BSE SME,ANL.BO
ANUBHAV,BSE,544800,Anubhav Plast Ltd,INE1O7201010,BSE SME,ANUBHAV.BO
APL,BSE,544445,Asston Pharmaceuticals Ltd,INE0SJX01015,BSE SME,APL.BO
APPL,BSE,544529,Aptus Pharma Ltd,INE15XJ01010,BSE SME,APPL.BO
ARITAS,BSE,544683,Aritas Vinyl Ltd,INE1D8001016,BSE SME,ARITAS.BO
ARROWHEAD,BSE,544025,Arrowhead Seperation Engineering Ltd,INE0PP401015,BSE SME,ARROWHEAD.BO
ARTEMISADR,BSE,543286,Artemis ADR Marketplace Ltd,INE0D9X01018,BSE SME,ARTEMISADR.BO
ASARFI,BSE,543943,Asarfi Hospital Ltd,INE0DN001027,BSE SME,ASARFI.BO
ASCENSIVE,BSE,543443,Ascensive Educare Ltd,INE0E4I01027,BSE SME,ASCENSIVE.BO
ASSOCIATED,BSE,544183,Associated Coaters Ltd,INE0RIQ01013,BSE SME,ASSOCIATED.BO
ASTONEALAB,BSE,544409,Astonea Labs Ltd,INE0TG901011,BSE SME,ASTONEALAB.BO
ASTRONMULT,BSE,544628,Astron Multigrain Ltd,INE0RUY01012,BSE SME,ASTRONMULT.BO
ATENPAPERS,BSE,544417,Aten Papers & Foam Ltd,INE0XCV01014,BSE SME,ATENPAPERS.BO
ATHARVA,BSE,544812,Atharva Poly-Plast Ltd,INE226801012,BSE SME,ATHARVA.BO
ATHCON,BSE,539099,Athena Constructions Ltd,INE291R01011,BSE SME,ATHCON.BO
ATIL,BSE,544671,Apollo Techno Industries Ltd,INE0X4A01013,BSE SME,ATIL.BO
AUREATE,BSE,544772,Aureate Tradde Ltd,INE1KVL01010,BSE SME,AUREATE.BO
AUSTERE,BSE,544505,Austere Systems Ltd,INE104201012,BSE SME,AUSTERE.BO
AVAX,BSE,544337,Avax Apparels and Ornaments Ltd,INE0NQ401024,BSE SME,AVAX.BO
AZTEC,BSE,544177,Aztec Fluids & Machinery Ltd,INE0SCB01016,BSE SME,AZTEC.BO
BAIKAKAJI,BSE,544670,Bai-Kakaji Polymers Ltd,INE1IJQ01026,BSE SME,BAIKAKAJI.BO
BCCL,BSE,543497,Bhatia Colour Chem Ltd,INE0KQ001017,BSE SME,BCCL.BO
BDI,BSE,544468,B. D. Industries (Pune) Ltd,INE1LJ801017,BSE SME,BDI.BO
BEEZAASAN,BSE,544369,Beezaasan Explotech Ltd,INE13VU01016,BSE SME,BEEZAASAN.BO
BENARA,BSE,541178,Benara Bearings and Pistons Ltd,INE495Z01011,BSE SME,BENARA.BO
BENCHMARK,BSE,544052,Benchmark Computer Solutions Ltd,INE0Q2Z01013,BSE SME,BENCHMARK.BO
BHANDERI,BSE,538576,Bhanderi Infracon Ltd,INE336Q01016,BSE SME,BHANDERI.BO
BHARATROHAN,BSE,544535,Bharatrohan Airborne Innovations Ltd,INE0QMV01017,BSE SME,BHARATROHAN.BO
BHAVIK,BSE,544551,Bhavik Enterprises Ltd,INE18PB01017,BSE SME,BHAVIK.BO
BILLWIN,BSE,543209,Billwin Industries Ltd,INE0CRS01012,BSE SME,BILLWIN.BO
BINDALEXPO,BSE,540148,Bindal Exports Ltd,INE564V01013,BSE SME,BINDALEXPO.BO
BIZOTIC,BSE,543926,Bizotic Commercial Ltd,INE0OJ401014,BSE SME,BIZOTIC.BO
BLT,BSE,544474,BLT Logistics Ltd,INE0W4K01013,BSE SME,BLT.BO
BMAL,BSE,535279,Bothra Metals & Alloys Ltd,INE583M01012,BSE SME,BMAL.BO
BONDADA,BSE,543971,Bondada Engineering Ltd,INE0Q8P01029,BSE SME,BONDADA.BO
BRGIL,BSE,544335,B.R.Goyal Infrastructure Ltd,INE00ST01011,BSE SME,BRGIL.BO
BRIGHT,BSE,543831,Bright Outdoor Media Ltd,INE0OMI01019,BSE SME,BRIGHT.BO
BRISK,BSE,544101,Brisk Technovision Ltd,INE0Q6L01014,BSE SME,BRISK.BO
BROACH,BSE,544231,Broach Lifecare Hospital Ltd,INE0SFZ01018,BSE SME,BROACH.BO
BRRL,BSE,543543,B-Right Realestate Ltd,INE0IZQ01016,BSE SME,BRRL.BO
CARGOSOL,BSE,543621,Cargosol Logistics Ltd,INE0KZM01011,BSE SME,CARGOSOL.BO
CARGOTRANS,BSE,543618,Cargotrans Maritime Ltd,INE0M4L01013,BSE SME,CARGOTRANS.BO
CBPL,BSE,542934,Chandra Bhagat Pharma Ltd,INE07QQ01016,BSE SME,CBPL.BO
CCAL,BSE,544000,City Crops Agro Ltd,INE0M7501019,BSE SME,CCAL.BO
CFF,BSE,543920,CFF Fluid Control Ltd,INE0NJ001013,BSE SME,CFF.BO
CHATHA,BSE,544151,Chatha Foods Ltd,INE0AH901011,BSE SME,CHATHA.BO
CHCL,BSE,542678,Cian Healthcare Ltd,INE05BN01027,BSE SME,CHCL.BO
CHEMKART,BSE,544442,Chemkart India Ltd,INE0VWL01017,BSE SME,CHEMKART.BO
CHIRAHARIT,BSE,544561,Chiraharit Ltd,INE12P101018,BSE SME,CHIRAHARIT.BO
CHOTHANI,BSE,540681,Chothani Foods Ltd,INE344X01016,BSE SME,CHOTHANI.BO
CHTR,BSE,544546,Chatterbox Technologies Ltd,INE1B4801017,BSE SME,CHTR.BO
CITICHEM,BSE,544324,Citichem India Ltd,INE0A8401016,BSE SME,CITICHEM.BO
CITYSQUARE,BSE,544514,Jay Ambe Supermarkets Ltd,INE1DRH01011,BSE SME,CITYSQUARE.BO
CLARA,BSE,543435,Clara Industries Ltd,INE0JJS01014,BSE SME,CLARA.BO
CLN,BSE,544347,CLN Energy Ltd,INE0WDX01010,BSE SME,CLN.BO
CNCRD,BSE,543619,Concord Control Systems Ltd,INE0N0J01014,BSE SME,CNCRD.BO
CNINFOTECH,BSE,544343,Capitalnumbers Infotech Ltd,INE0WXM01011,BSE SME,CNINFOTECH.BO
COMMAND,BSE,543843,Command Polymers Ltd,INE0LKQ01012,BSE SME,COMMAND.BO
COMRADE,BSE,543921,Comrade Appliances Ltd,INE0NXA01015,BSE SME,COMRADE.BO
CONTAINE,BSE,543606,Containe Technologies Ltd,INE0M8901010,BSE SME,CONTAINE.BO
COSMICCRF,BSE,543928,Cosmic CRF Ltd,INE0ORA01015,BSE SME,COSMICCRF.BO
COSPOWER,BSE,543172,Cospower Engineering Ltd,INE0CQB01010,BSE SME,COSPOWER.BO
COTFAB,BSE,544195,United Cotfab Ltd,INE0S0I01011,BSE SME,COTFAB.BO
CPML,BSE,542727,City Pulse Multiventures Ltd,INE056001014,BSE SME,CPML.BO
CRAZY,BSE,544807,Crazy Snacks Ltd,INE0RBX01014,BSE SME,CRAZY.BO
CRYOGENIC,BSE,544440,Cryogenic Ogs Ltd,INE0TL001013,BSE SME,CRYOGENIC.BO
CTCL,BSE,540652,Captain Technocast Ltd,INE931X01010,BSE SME,CTCL.BO
CTLLAB,BSE,544220,Clinitech Laboratory Ltd,INE0QMR01015,BSE SME,CTLLAB.BO
CWD,BSE,543378,CWD Ltd,INE0H8H01019,BSE SME,CWD.BO
DACHEPALLI,BSE,544667,Dachepalli Publishers Ltd,INE1F9M01018,BSE SME,DACHEPALLI.BO
DAPS,BSE,543651,DAPS Advertising Ltd,INE975Z01012,BSE SME,DAPS.BO
DAVIN,BSE,544331,Davin Sons Retail Ltd,INE0Q2L01013,BSE SME,DAVIN.BO
DEEPAKCHEM,BSE,544036,Deepak Chemtex Ltd,INE0RDM01013,BSE SME,DEEPAKCHEM.BO
DEFRAIL,BSE,544677,Defrail Technologies Ltd,INE0ZE201010,BSE SME,DEFRAIL.BO
DESCO,BSE,544387,Desco Infratech Ltd,INE0TGG01014,BSE SME,DESCO.BO
